Product,Model,Features,Package,Frequency,Tolerance,Stability,Temp,Stock,Load,Capacitance,Overtone,StockDue,More
LFXTAL020344Cutt,12SMX,0.00,0.00,9.216000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL020344Reel,12SMX,0.00,0.00,9.216000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL020860Cutt,12SMX,0.00,0.00,16.934400,20.00,30.00,-10.00,70.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL020860Reel,12SMX,0.00,0.00,16.934400,20.00,30.00,-10.00,70.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL020965Bulk,12SMX,0.00,0.00,14.745600,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL020965Cutt,12SMX,0.00,0.00,14.745600,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL020965Reel,12SMX,0.00,0.00,14.745600,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL020961Bulk,12SMX,0.00,0.00,24.576000,50.00,50.00,0.00,50.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL021163Bulk,12SMX,0.00,0.00,14.318180,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021339Reel,12SMX,0.00,0.00,14.745600,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021398Bulk,12SMX,0.00,0.00,40.000000,30.00,50.00,-10.00,60.00,12.00,3RD,True,9 Weeks,12SMX
LFXTAL021468Bulk,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021469Bulk,12SMX,0.00,0.00,14.745600,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021627Cutt,12SMX,0.00,0.00,11.059200,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL021627Reel,12SMX,0.00,0.00,11.059200,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL021752Reel,12SMX,0.00,0.00,12.000000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021818Bulk,12SMX,0.00,0.00,12.288000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL021818Reel,12SMX,0.00,0.00,12.288000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL021829Bulk,12SMX,0.00,0.00,10.000000,50.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL021829Reel,12SMX,0.00,0.00,10.000000,50.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL021894Cutt,12SMX,0.00,0.00,9.216000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021894Reel,12SMX,0.00,0.00,9.216000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021895Cutt,12SMX,0.00,0.00,24.576000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021895Reel,12SMX,0.00,0.00,24.576000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL021859Bulk,12SMX,0.00,0.00,12.000000,50.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL021949Reel,12SMX,0.00,0.00,24.576000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL022019Reel,12SMX,0.00,0.00,20.000000,100.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL022248Bulk,12SMX,0.00,0.00,24.576000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL022248Reel,12SMX,0.00,0.00,24.576000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL022323Reel,12SMX,0.00,0.00,8.000000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022338Bulk,12SMX,0.00,0.00,14.745600,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL022339Bulk,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL022399Bulk,12SMX,0.00,0.00,20.000000,100.00,100.00,0.00,50.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL022399Reel,12SMX,0.00,0.00,20.000000,100.00,100.00,0.00,50.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL022401Bulk,12SMX,0.00,0.00,14.318180,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022401Reel,12SMX,0.00,0.00,14.318180,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022404Bulk,12SMX,0.00,0.00,27.000000,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022404Reel,12SMX,0.00,0.00,27.000000,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022405Bulk,12SMX,0.00,0.00,30.000000,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022406Reel,12SMX,0.00,0.00,30.000000,100.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022598Reel,12SMX,0.00,0.00,33.000000,50.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022599Reel,12SMX,0.00,0.00,14.318180,50.00,100.00,0.00,50.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022600Reel,12SMX,0.00,0.00,20.000000,40.00,50.00,0.00,50.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL022669Bulk,12SMX,0.00,0.00,20.000000,50.00,100.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022669Reel,12SMX,0.00,0.00,20.000000,50.00,100.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022873Reel,12SMX,0.00,0.00,20.000000,50.00,100.00,-20.00,70.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL022928Reel,12SMX,0.00,0.00,14.318180,100.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL022929Reel,12SMX,0.00,0.00,16.000000,100.00,100.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023135Reel,12SMX,0.00,0.00,22.118400,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023169Reel,12SMX,0.00,0.00,8.000000,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL023170Reel,12SMX,0.00,0.00,8.192000,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL023183Bulk,12SMX,0.00,0.00,27.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023183Cutt,12SMX,0.00,0.00,27.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023183Reel,12SMX,0.00,0.00,27.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023221Bulk,12SMX,0.00,0.00,25.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023221Reel,12SMX,0.00,0.00,25.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023223Bulk,12SMX,0.00,0.00,20.000000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023224Bulk,12SMX,0.00,0.00,22.118400,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023447Reel,12SMX,0.00,0.00,8.000000,100.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
